t,px,py,pz,qw,qx,qy,qz
0.0,0.271936,0.518388,0.222014,0.822069,0.40672,0.389743,0.082957
0.008333,0.271887,0.518373,0.221942,0.822179,0.406668,0.389563,0.082967
0.058333,0.271595,0.518285,0.221508,0.822838,0.406357,0.388481,0.083031
0.108333,0.271445,0.518285,0.221124,0.822855,0.406084,0.388692,0.08321
0.116667,0.271441,0.518304,0.221128,0.822891,0.406188,0.388496,0.083259
0.125,0.271437,0.518323,0.221132,0.822928,0.406292,0.388299,0.083309
0.133333,0.271432,0.518327,0.221091,0.822915,0.406346,0.388272,0.0833
0.141667,0.271422,0.518332,0.221054,0.822904,0.406367,0.388273,0.0833
0.15,0.271439,0.518333,0.220848,0.822245,0.406422,0.389492,0.083849
0.158333,0.271436,0.518336,0.22082,0.822246,0.406482,0.389424,0.083862
0.166667,0.271412,0.51834,0.220807,0.82219,0.40666,0.389409,0.083617
0.175,0.271438,0.518341,0.22073,0.822233,0.406539,0.389416,0.083757
0.183333,0.271411,0.518354,0.220741,0.822119,0.406674,0.389627,0.083235
0.191667,0.271425,0.518344,0.220671,0.8222,0.406742,0.389329,0.083489
0.2,0.271445,0.518343,0.220601,0.822244,0.406567,0.389405,0.083555
0.208333,0.271479,0.518385,0.220589,0.821322,0.406816,0.391279,0.082651
0.216667,0.271471,0.518354,0.220564,0.821597,0.407153,0.390179,0.083458
0.225,0.271474,0.518392,0.220543,0.821294,0.406901,0.391258,0.08261
0.233333,0.271471,0.518387,0.220525,0.821232,0.407155,0.39114,0.082538
0.241667,0.271463,0.518404,0.220502,0.821326,0.406866,0.391224,0.082629
0.25,0.271455,0.518401,0.220508,0.821229,0.407166,0.391134,0.082541
0.258333,0.27144,0.518405,0.22051,0.821166,0.407372,0.391062,0.082497
0.266667,0.271427,0.518421,0.220485,0.82123,0.407144,0.39113,0.08266
0.275,0.271408,0.518419,0.220493,0.821152,0.407363,0.391075,0.082612
0.283333,0.27139,0.518416,0.220493,0.821106,0.407556,0.390969,0.082623
0.291667,0.27125,0.518409,0.220503,0.822817,0.40686,0.387619,0.084787
0.3,0.271359,0.518431,0.220464,0.821125,0.407389,0.391061,0.082819
0.308333,0.271281,0.518431,0.220508,0.822081,0.407082,0.389227,0.083482
0.316667,0.271323,0.518445,0.22045,0.821145,0.407327,0.391078,0.082847
0.325,0.271337,0.518442,0.220405,0.821282,0.40712,0.390884,0.083424
0.333333,0.271228,0.518508,0.22058,0.821826,0.407152,0.389764,0.083149
0.341667,0.271276,0.518456,0.220437,0.821062,0.407463,0.391105,0.082875
0.35,0.271113,0.518451,0.220472,0.82271,0.407069,0.38761,0.084857
0.358333,0.271183,0.518533,0.220602,0.821695,0.407201,0.389984,0.083168
0.366667,0.271154,0.518474,0.220485,0.821912,0.407189,0.389477,0.08346
0.375,0.271143,0.518475,0.220478,0.821865,0.40723,0.389543,0.083416
0.383333,0.271145,0.518476,0.220471,0.821853,0.407253,0.389554,0.083374
0.391667,0.271135,0.518518,0.220512,0.82154,0.406879,0.390708,0.082884
0.4,0.271083,0.51848,0.220441,0.822666,0.407097,0.387701,0.084734
0.408333,0.271261,0.518483,0.220367,0.821101,0.407334,0.391066,0.0833
0.416667,0.27127,0.518479,0.220351,0.821103,0.407357,0.391052,0.083241
0.425,0.271287,0.518472,0.220321,0.821072,0.407386,0.391081,0.083267
0.433333,0.2713,0.518475,0.220292,0.821163,0.407168,0.391104,0.083325
0.441667,0.27112,0.518445,0.220367,0.82263,0.407515,0.387404,0.084442
0.45,0.271332,0.518463,0.220259,0.821186,0.407199,0.39104,0.083252
0.458333,0.271352,0.518464,0.220244,0.821248,0.407137,0.390977,0.08323
0.466667,0.271372,0.51847,0.22023,0.821288,0.407084,0.390954,0.083207
0.475,0.271216,0.518427,0.220334,0.82264,0.407758,0.387151,0.084325
0.483333,0.271439,0.518472,0.220209,0.821343,0.406987,0.390924,0.083283
0.491667,0.271475,0.518472,0.22021,0.821325,0.407109,0.390847,0.08323
0.5,0.271316,0.518429,0.220308,0.822581,0.408326,0.386688,0.084274
0.508333,0.271356,0.518435,0.220318,0.822553,0.408429,0.386657,0.084197
0.516667,0.2714,0.518446,0.22031,0.822609,0.408356,0.386608,0.084225
0.525,0.271435,0.518458,0.220321,0.822648,0.408423,0.386469,0.084154
0.533333,0.271677,0.518504,0.220262,0.821274,0.407614,0.390484,0.082961
0.541667,0.271584,0.518518,0.22033,0.82217,0.407575,0.388495,0.083612
0.55,0.271742,0.518526,0.22029,0.82126,0.407783,0.390358,0.082865
0.558333,0.271777,0.518537,0.220298,0.82127,0.407778,0.39034,0.082869
0.566667,0.271679,0.518552,0.220371,0.822155,0.407779,0.388343,0.083472
0.575,0.271699,0.51856,0.220392,0.822119,0.407825,0.388386,0.083406
0.583333,0.271832,0.518563,0.220352,0.821244,0.407993,0.390219,0.082635
0.591667,0.27185,0.518565,0.22036,0.821212,0.408034,0.390241,0.08265
0.6,0.271726,0.518576,0.220437,0.822106,0.407889,0.388371,0.083282
0.608333,0.271722,0.51858,0.220456,0.822056,0.407936,0.388448,0.083196
0.616667,0.271833,0.518573,0.220408,0.821186,0.40806,0.390284,0.08258
0.625,0.271807,0.518578,0.220426,0.821221,0.407971,0.390308,0.082556
0.633333,0.271797,0.518569,0.220447,0.821123,0.408086,0.390394,0.082551
0.641667,0.271766,0.518573,0.220469,0.821175,0.407955,0.390425,0.082537
0.65,0.271627,0.518581,0.220548,0.821927,0.40789,0.388776,0.083161
0.658333,0.27173,0.518568,0.220512,0.82105,0.408056,0.39058,0.082555
0.666667,0.271679,0.51857,0.220578,0.820841,0.408387,0.390793,0.081988
0.675,0.271648,0.518565,0.220621,0.82082,0.408512,0.390728,0.081883
0.683333,0.271627,0.518575,0.220642,0.820852,0.40827,0.390893,0.081978
0.691667,0.271608,0.518566,0.220679,0.820832,0.408392,0.390824,0.081906
0.7,0.271592,0.518569,0.220727,0.820748,0.408509,0.390893,0.081825
0.708333,0.271584,0.518574,0.220756,0.820759,0.40837,0.391,0.081905
0.716667,0.271442,0.518567,0.220837,0.82247,0.407877,0.38748,0.083895
0.725,0.271519,0.518644,0.221012,0.821442,0.408168,0.389735,0.082096
0.733333,0.271501,0.518574,0.220928,0.821597,0.408196,0.389332,0.082313
0.741667,0.271509,0.518587,0.220985,0.821551,0.408284,0.389349,0.082251
0.75,0.271517,0.518599,0.221047,0.821521,0.408377,0.389315,0.082246
0.758333,0.271552,0.518609,0.221065,0.821608,0.408345,0.389087,0.082621
0.766667,0.271533,0.518633,0.221178,0.821456,0.408488,0.38936,0.082141
0.775,0.271516,0.518589,0.221187,0.821313,0.408843,0.389199,0.08256
0.783333,0.271545,0.518664,0.221306,0.821354,0.408727,0.389325,0.08213
0.791667,0.271489,0.51868,0.221359,0.822298,0.40822,0.387522,0.083715
0.8,0.271624,0.518683,0.221435,0.820303,0.409613,0.390792,0.081256
0.808333,0.271609,0.51868,0.221438,0.820967,0.409211,0.389601,0.082291
0.816667,0.271555,0.51876,0.221556,0.820487,0.409392,0.390732,0.0808
0.825,0.271603,0.518764,0.221678,0.820988,0.409257,0.389658,0.081574
0.833333,0.271592,0.518714,0.221607,0.821294,0.408925,0.389309,0.081827
0.841667,0.271654,0.518638,0.221637,0.821814,0.408736,0.388512,0.081332
0.85,0.271596,0.518725,0.221711,0.821353,0.409039,0.389054,0.081868
0.858333,0.271613,0.518707,0.221709,0.82127,0.409014,0.389345,0.081443
