t,px,py,pz,qw,qx,qy,qz
5.783333,0.319932,-0.209595,0.243822,-0.122008,-0.031587,0.941157,0.313592
5.791667,0.320229,-0.208833,0.245728,-0.13017,-0.025707,0.940688,0.312251
5.8,0.320759,-0.207975,0.248024,-0.136792,-0.016419,0.939084,0.314864
5.808333,0.321324,-0.207286,0.24973,-0.145773,-0.008194,0.938416,0.313144
5.816667,0.322229,-0.206585,0.251606,-0.15471,-0.000741,0.937707,0.311078
5.825,0.322599,-0.206191,0.252751,-0.159161,0.003045,0.937589,0.30917
5.833333,0.323546,-0.205632,0.25496,-0.161945,0.007547,0.935201,0.314827
5.841667,0.324465,-0.205362,0.256483,-0.163361,0.011636,0.933746,0.31827
5.85,0.325199,-0.205304,0.258192,-0.168596,0.012609,0.93183,0.321107
5.858333,0.326484,-0.205034,0.258978,-0.165369,0.012749,0.931972,0.322365
5.866667,0.327887,-0.204743,0.25983,-0.167137,0.012973,0.932134,0.320973
5.875,0.329322,-0.205402,0.26235,-0.180711,0.01107,0.927895,0.325934
5.883333,0.330928,-0.205554,0.264698,-0.186935,0.006049,0.92527,0.32999
5.891667,0.333713,-0.203548,0.26456,-0.171243,0.01668,0.929685,0.325706
5.9,0.336297,-0.203373,0.267492,-0.181799,0.015972,0.925062,0.333097
5.908333,0.338253,-0.202937,0.269203,-0.184198,0.017149,0.924615,0.332963
5.916667,0.340135,-0.202581,0.270856,-0.186635,0.018695,0.925775,0.328265
5.925,0.341631,-0.202334,0.272628,-0.18722,0.020714,0.926486,0.325796
5.933333,0.343489,-0.202105,0.275014,-0.187444,0.023027,0.926313,0.326005
5.941667,0.345158,-0.202124,0.277032,-0.186933,0.024538,0.926681,0.325141
5.95,0.346337,-0.202421,0.278963,-0.18569,0.023636,0.927277,0.324219
5.958333,0.347988,-0.202728,0.281167,-0.185541,0.02284,0.926723,0.325942
5.966667,0.349699,-0.203218,0.283322,-0.187322,0.023743,0.925962,0.32702
5.975,0.35138,-0.203973,0.285153,-0.186386,0.026675,0.925382,0.328964
5.983333,0.353128,-0.204782,0.286817,-0.188389,0.029059,0.924752,0.329393
5.991667,0.354478,-0.205779,0.288291,-0.186772,0.031857,0.924232,0.331508
6.0,0.355945,-0.20702,0.289291,-0.186734,0.033404,0.924119,0.33169
6.008333,0.357369,-0.208671,0.290539,-0.184593,0.033341,0.925803,0.32818
6.016667,0.358579,-0.210541,0.291758,-0.185733,0.035002,0.92509,0.329374
6.025,0.360339,-0.212398,0.293473,-0.189874,0.036047,0.924363,0.328941
6.033333,0.362055,-0.214281,0.295342,-0.190096,0.040001,0.92261,0.333247
6.041667,0.363705,-0.216236,0.296859,-0.196433,0.042159,0.922071,0.330789
6.05,0.365714,-0.218213,0.29865,-0.193137,0.046688,0.920678,0.335961
6.058333,0.36794,-0.220007,0.300172,-0.192131,0.04819,0.921861,0.333069
6.066667,0.369968,-0.221775,0.301827,-0.190079,0.050077,0.923348,0.329834
6.075,0.372187,-0.223524,0.303642,-0.188769,0.051738,0.925138,0.325283
6.083333,0.374318,-0.225387,0.305703,-0.191566,0.052849,0.926595,0.319267
6.091667,0.376942,-0.22694,0.308139,-0.191214,0.055372,0.928058,0.314768
6.1,0.380287,-0.228166,0.311415,-0.190482,0.060411,0.92744,0.316105
6.108333,0.382544,-0.229782,0.313395,-0.190159,0.059495,0.931151,0.305383
6.116667,0.385649,-0.23109,0.31714,-0.192927,0.062822,0.930414,0.305227
6.125,0.389003,-0.232103,0.319704,-0.187287,0.065789,0.932734,0.301002
6.133333,0.391436,-0.233488,0.321819,-0.186467,0.065286,0.93654,0.289587
6.141667,0.394485,-0.234571,0.324673,-0.186166,0.067898,0.938007,0.284385
6.15,0.397691,-0.235529,0.328576,-0.190433,0.072516,0.936789,0.284435
6.158333,0.400699,-0.236422,0.331467,-0.19043,0.076927,0.938077,0.278981
6.166667,0.403535,-0.237226,0.334429,-0.191673,0.082655,0.939089,0.273022
6.175,0.406105,-0.237228,0.338933,-0.190892,0.078269,0.938352,0.277361
6.183333,0.408649,-0.237816,0.342137,-0.193378,0.087429,0.939053,0.270444
6.191667,0.410827,-0.238673,0.344509,-0.197983,0.09602,0.940844,0.257672
6.2,0.413431,-0.238581,0.348585,-0.196401,0.108691,0.939941,0.257145
6.208333,0.415526,-0.238754,0.351887,-0.196834,0.119027,0.940261,0.250993
6.216667,0.417076,-0.239247,0.354322,-0.198804,0.126363,0.942018,0.238982
6.225,0.418983,-0.239627,0.355604,-0.189999,0.149351,0.945021,0.220294
6.233333,0.42088,-0.23933,0.359909,-0.194587,0.160486,0.941946,0.221626
6.241667,0.422525,-0.237905,0.363966,-0.193755,0.159282,0.940466,0.229372
6.25,0.423632,-0.237901,0.365844,-0.196376,0.166391,0.941152,0.219054
6.258333,0.425525,-0.236856,0.368734,-0.188465,0.178008,0.939718,0.222989
6.266667,0.427177,-0.236133,0.370436,-0.183323,0.185646,0.939311,0.222764
6.275,0.428604,-0.231426,0.370436,-0.186701,0.18794,0.937364,0.226208
6.716667,0.504233,0.018043,0.370453,-0.354507,0.299052,0.792691,0.395642
6.725,0.504694,0.023034,0.368904,-0.356512,0.294087,0.789426,0.404002
6.733333,0.505339,0.028691,0.365911,-0.358152,0.293299,0.789463,0.403052
6.741667,0.505339,0.032663,0.365329,-0.357851,0.281083,0.786406,0.417732
6.75,0.505969,0.037175,0.363312,-0.356841,0.274885,0.785343,0.424664
6.758333,0.506828,0.041441,0.361119,-0.357582,0.268292,0.784167,0.430391
6.766667,0.508064,0.045406,0.358931,-0.358331,0.26107,0.782177,0.437767
6.775,0.509779,0.049036,0.356596,-0.36473,0.254044,0.778474,0.443183
6.783333,0.511402,0.052722,0.353782,-0.367238,0.242972,0.77679,0.45022
6.791667,0.513258,0.056067,0.351038,-0.371124,0.232766,0.774337,0.456606
6.8,0.514929,0.059198,0.348384,-0.374446,0.222515,0.771964,0.462978
6.808333,0.516842,0.061991,0.345399,-0.378939,0.210667,0.769662,0.468663
6.816667,0.518712,0.064648,0.342401,-0.385206,0.19946,0.766828,0.473083
6.825,0.520548,0.067347,0.339443,-0.392246,0.188352,0.763139,0.477792
6.833333,0.522324,0.069501,0.33633,-0.399686,0.177345,0.759285,0.481961
6.841667,0.52355,0.071668,0.333391,-0.40339,0.16596,0.75699,0.486518
6.85,0.525183,0.073603,0.330454,-0.408998,0.157765,0.753528,0.489925
6.858333,0.525411,0.075577,0.327524,-0.404942,0.147097,0.754337,0.495339
6.866667,0.526916,0.077347,0.325168,-0.410357,0.14237,0.749968,0.498885
6.875,0.527484,0.07883,0.322921,-0.410421,0.13718,0.749621,0.500804
6.883333,0.527923,0.080318,0.320702,-0.41221,0.13328,0.748272,0.502402
6.891667,0.528123,0.08099,0.319586,-0.413723,0.131859,0.74762,0.502504
6.9,0.52795,0.081915,0.318027,-0.411703,0.13003,0.748548,0.503258
6.908333,0.527752,0.08251,0.316989,-0.406802,0.1318,0.750899,0.50328
6.916667,0.527483,0.082457,0.316982,-0.406704,0.135611,0.752004,0.500692
6.925,0.526427,0.082845,0.31641,-0.396978,0.138013,0.756547,0.500996
6.933333,0.52574,0.082603,0.317032,-0.395878,0.144462,0.757902,0.497992
6.941667,0.524448,0.082628,0.317459,-0.39,0.149968,0.762579,0.493845
6.95,0.522914,0.082318,0.318663,-0.384955,0.157011,0.766804,0.489049
6.958333,0.521274,0.082422,0.318856,-0.382708,0.164223,0.774606,0.475973
6.966667,0.519934,0.082022,0.320611,-0.381495,0.171346,0.772856,0.47728
6.975,0.518164,0.081756,0.322219,-0.374779,0.18148,0.77799,0.470465
6.983333,0.517217,0.081388,0.324284,-0.375516,0.19231,0.77765,0.466117
6.991667,0.515135,0.081428,0.325513,-0.366647,0.198791,0.782216,0.462807
7.0,0.51361,0.081325,0.326889,-0.365375,0.207529,0.783875,0.457134
7.008333,0.511845,0.081123,0.328535,-0.358734,0.215523,0.787563,0.452332
7.016667,0.510145,0.081096,0.33,-0.345516,0.223466,0.789595,0.455215
7.025,0.508189,0.081043,0.330761,-0.339898,0.226979,0.797175,0.444367
7.033333,0.507135,0.080993,0.331946,-0.339571,0.233959,0.798191,0.439142
7.041667,0.505801,0.080805,0.3327,-0.334607,0.237591,0.802138,0.433777
7.05,0.504653,0.080597,0.333389,-0.325878,0.240141,0.805973,0.431906
7.058333,0.503893,0.080153,0.333592,-0.317691,0.24098,0.810848,0.428401
7.066667,0.503608,0.080335,0.334198,-0.319863,0.243844,0.810932,0.42499
7.075,0.503372,0.080031,0.33433,-0.318461,0.244096,0.813255,0.421445
7.083333,0.503173,0.0791,0.334452,-0.318781,0.242333,0.816372,0.416162
7.091667,0.503493,0.079307,0.334154,-0.318519,0.242298,0.817232,0.414692
7.1,0.503812,0.078949,0.333667,-0.319653,0.240654,0.819108,0.41106
7.108333,0.504172,0.07861,0.333188,-0.321354,0.237767,0.82043,0.408771
7.116667,0.504672,0.078299,0.332392,-0.324734,0.235169,0.821025,0.406401
7.125,0.505243,0.07802,0.331266,-0.328488,0.232681,0.821278,0.4043
7.133333,0.505725,0.077774,0.329976,-0.331975,0.229654,0.821044,0.403656
7.141667,0.506121,0.077569,0.328576,-0.335052,0.226457,0.820205,0.404624
7.15,0.506425,0.077478,0.326819,-0.337625,0.223551,0.81937,0.405791
7.158333,0.506594,0.077441,0.324931,-0.339886,0.220626,0.818029,0.408204
7.166667,0.506714,0.077506,0.322752,-0.341526,0.218084,0.816651,0.410952
7.175,0.506467,0.077697,0.320323,-0.337445,0.214039,0.817039,0.415651
7.183333,0.506719,0.07778,0.318323,-0.344059,0.212039,0.813139,0.418889
7.191667,0.506609,0.078013,0.31584,-0.344885,0.207378,0.811069,0.424518
7.2,0.506627,0.078327,0.31364,-0.347628,0.205892,0.808475,0.42794
7.208333,0.506606,0.078782,0.311363,-0.344875,0.204045,0.803946,0.439429
7.216667,0.506488,0.079111,0.308591,-0.354025,0.198557,0.801795,0.438596
7.225,0.50612,0.079758,0.305803,-0.35366,0.194699,0.799567,0.444644
7.233333,0.506003,0.08039,0.303059,-0.359706,0.191104,0.79432,0.450718
7.241667,0.505887,0.080856,0.300596,-0.365276,0.190583,0.789725,0.454517
7.25,0.505531,0.081466,0.298142,-0.371202,0.188174,0.784098,0.460423
7.258333,0.505112,0.082156,0.295317,-0.377772,0.183742,0.777581,0.467862
7.266667,0.504939,0.082758,0.292827,-0.388947,0.181878,0.769429,0.472884
7.275,0.504582,0.083608,0.290229,-0.397158,0.181108,0.761953,0.478428
7.283333,0.503954,0.084509,0.287582,-0.396046,0.179267,0.754374,0.491864
7.291667,0.50334,0.08544,0.284809,-0.39955,0.176546,0.748164,0.499442
7.3,0.503061,0.086503,0.281962,-0.414925,0.172694,0.740889,0.499097
7.308333,0.502548,0.087446,0.27953,-0.41928,0.169735,0.735029,0.5051
7.316667,0.502284,0.088648,0.27693,-0.426344,0.164139,0.7266,0.513168
7.325,0.501951,0.089943,0.274364,-0.428863,0.160635,0.722921,0.517357
7.333333,0.502062,0.091201,0.271922,-0.434654,0.158182,0.716089,0.522753
7.341667,0.502256,0.092793,0.269244,-0.435113,0.151138,0.708484,0.534682
7.35,0.501609,0.0941,0.267402,-0.437991,0.143965,0.708084,0.534841
7.358333,0.501715,0.095692,0.265112,-0.439519,0.137748,0.703095,0.541762
7.366667,0.501833,0.097438,0.262852,-0.44167,0.130798,0.69794,0.548361
7.375,0.502089,0.099292,0.26048,-0.444467,0.122073,0.691421,0.556313
7.383333,0.502532,0.101493,0.257866,-0.448002,0.113949,0.684934,0.563183
7.391667,0.502972,0.10364,0.255632,-0.449619,0.105292,0.679175,0.570506
7.4,0.503643,0.106089,0.253039,-0.453606,0.095294,0.672368,0.577133
